29/03/2019,MAGNA,,$290.00,$20.29,14.29,-$290.00,21151,,-19848,-978.2158699,,DEPTO. DE RECURSOS MATERIALES Y SERVCIOS GENERALES,VOLKSWAGEN ,VENTO,2017,DIFERENTES,NAP8934,
29/03/2019,MAGNA,$185.00,$185.00,$20.29,9.12,$0.00,210619,,-210619,-10380.43371,,ÁREA DE BIENES MUEBLES,NISSAN ,TSURU,2009,ROJO,MDT1718,
,,,"$116,183.17",,,515.76,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,PAGOS DE FEBRERO 2019 PENDIENTES,,,,,,,,,,,,,,,,,
,"CARGAS DESFASADAS POR SER DÍA INHABIL, SALIDA MUY TEMPRANO",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,mjj9820,,,,,,,,,,,,,,,,,
